framework              , test                                                         , time     , p95      , p99      , cv       , group          , family                   , metrics                                                                                         
@solidjs/signals       , createDataSignals                                            , 18.98    , 18.98    , 18.98    , 0.000    , creation       , signal creation          ,                                                                                                 
@solidjs/signals       , createComputations0to1                                       , 59.86    , 59.86    , 59.86    , 0.000    , creation       , computed creation        ,                                                                                                 
@solidjs/signals       , createComputations1to1                                       , 65.98    , 65.98    , 65.98    , 0.000    , creation       , computed creation        ,                                                                                                 
@solidjs/signals       , createComputations2to1                                       , 72.74    , 72.74    , 72.74    , 0.000    , creation       , computed creation        ,                                                                                                 
@solidjs/signals       , createComputations4to1                                       , 42.51    , 42.51    , 42.51    , 0.000    , creation       , computed creation        ,                                                                                                 
@solidjs/signals       , createComputations1000to1                                    , 25.37    , 25.37    , 25.37    , 0.000    , creation       , computed creation        ,                                                                                                 
@solidjs/signals       , createComputations1to2                                       , 57.73    , 57.73    , 57.73    , 0.000    , creation       , computed creation        ,                                                                                                 
@solidjs/signals       , createComputations1to4                                       , 66.63    , 66.63    , 66.63    , 0.000    , creation       , computed creation        ,                                                                                                 
@solidjs/signals       , createComputations1to8                                       , 73.03    , 73.03    , 73.03    , 0.000    , creation       , computed creation        ,                                                                                                 
@solidjs/signals       , createComputations1to1000                                    , 76.33    , 76.33    , 76.33    , 0.000    , creation       , computed creation        ,                                                                                                 
